Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C26, C4, C8",C_Axial_200mil,4,0.1 uF,
C10,C_Axial_200mil,1,4.7uF,
"C11, C13, C16, C17, C18",C_Axial_200mil,5,0.1uF,
"C12, C19",C_Axial_200mil,2,0.01uF,
"C14, C22",C_Axial_200mil,2,1uF,
C15,CP_Radial_Tantal200mil,1,2.2uF,
C2,C_Axial_200mil,1,1.0 uF,
"C20, C21",C_Axial_200mil,2,10pF C0G,
"C23, C24, C25, C9",CP_Radial_Tantal200mil,4,4.7uF,
"C3, C6",C_Axial_200mil,2,4.7 uF,
C5,C_Axial_200mil,1,1u,
C7,C_Axial_200mil,1,220pF,
D1,LED_D5.0mm,1,LED,
"H1, H2, H3, H4",MountingHole_4_40,4,~,
IC1,DIP-8_W7.62mm_LongPads,1,TLV5616,
IC2,ti_LM4041CILPR,1,LM4041CILPR,
J1,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x06_Pin,
"J2, J6",PinHeader_1x04_P2.54mm_Vertical,2,Header_4,
J3,PinHeader_1x03_P1.00mm_Vertical,1,Conn_01x03_Pin,
J4,PinHeader_1x05_P2.54mm_Vertical,1,JTAG,
J5,PinHeader_1x02_P2.54mm_Vertical,1,Battery,
LS1,PinHeader_1x02_P2.54mm_Vertical,1,Speaker,
"R1, R14, R7",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,3,10k,
"R10, R11",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,1k,
R12,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,100k,
R13,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1M,
R15,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,330,
R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,47 kohm,
"R3, R6",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,10 kohm,
R4,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,2 kohm,
R5,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,20 kohm,
"R8, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,22k,
SW1,SW_PUSH_6mm,1,Reset,
U1,DIP-8_W7.62mm_LongPads,1,MCP34119P,
U2,DIP-8_W7.62mm_LongPads,1,OPA2350,
U3,adafruit_st7735r2,1,Adafruit ST7735R,
U4,PinHeader_2x04_P2.54mm_Vertical,1,ESP8266-1,
U5,QFP50P1200X1200X160-64N,1,TM4C123GH6PMIR,
U6,TL431CLPM,1,LP2950-33LPRE3,
U7,CMA_CUI_9P7X9P7_CUD,1,CMA-4544PF-W (elec mic),
U8,TO-92_Inline,1,LP2950-5.0_TO92,
Y1,ABM3,1,ABM3-16.000MHZ-B2-T,
